effect	qualified_name	canonical_type	inferred_effect	inference_basis	override_reason
neutral	ALTREP	int (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R inline accessor reads object metadata without allocating or signaling an R error.
neutral	ANY_ATTRIB	int (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R inline accessor reads object metadata without allocating or signaling an R error.
r	INTEGER	int *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	INTEGER_RO	const int *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	LENGTH	int (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	LOGICAL	int *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	LOGICAL_RO	const int *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
neutral	NO_REFERENCES	int (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R inline accessor reads object metadata without allocating or signaling an R error.
neutral	PRINTNAME	struct SEXPREC *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	R inline accessor reads a symbol field without allocating or signaling an R error.
r	RAW	unsigned char *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	REAL_RO	const double *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	R_CHAR	const char *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	R_ContinueUnwind	void (struct SEXPREC *) __attribute__((noreturn))	r	rule:r-header+rule:reviewed-c-api	
r	R_ExpandFileName	const char *(const char *)	r	rule:r-header+rule:reviewed-c-api	
neutral	R_IsNA	int (double)	r	rule:r-header+rule:reviewed-c-api	R numeric predicate does not allocate or signal an R error.
r	R_MakeUnwindCont	struct SEXPREC *(void)	r	rule:r-header+rule:reviewed-c-api	
r	R_ProtectWithIndex	void (struct SEXPREC *, int *)	r	rule:r-header+rule:reviewed-c-api	
r	R_Reprotect	void (struct SEXPREC *, int)	r	rule:r-header+rule:reviewed-c-api	
r	R_UnwindProtect	struct SEXPREC *(struct SEXPREC *(*)(void *), void *, void (*)(void *, Rboolean), void *, struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	R_alloc	char *(unsigned long, int)	r	rule:r-header+rule:reviewed-c-api	
neutral	R_forceSymbols	Rboolean (struct _DllInfo *, Rboolean)	r	rule:r-header+rule:reviewed-c-api	R registration setter does not allocate or signal an R error.
r	R_registerRoutines	int (struct _DllInfo *, const R_CMethodDef *, const R_CallMethodDef *, const R_CMethodDef *, const R_CallMethodDef *)	r	rule:r-header+rule:reviewed-c-api	
r	R_tryCatchError	struct SEXPREC *(struct SEXPREC *(*)(void *), void *, struct SEXPREC *(*)(struct SEXPREC *, void *), void *)	r	rule:r-header+rule:reviewed-c-api	
neutral	R_useDynamicSymbols	Rboolean (struct _DllInfo *, Rboolean)	r	rule:r-header+rule:reviewed-c-api	R registration setter does not allocate or signal an R error.
r	Rf_ScalarInteger	struct SEXPREC *(int)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_ScalarLogical	struct SEXPREC *(int)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_ScalarString	struct SEXPREC *(struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_allocMatrix	struct SEXPREC *(unsigned int, int, int)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_allocVector	struct SEXPREC *(unsigned int, long)	r	rule:r-header+rule:reviewed-c-api	
r	Rf_asInteger	int (struct SEXPREC *)	r	rule:r-header+rule:reviewed-c-api	
